sigma^2,N,Run,Unaligned_Error,Aligned_Error
0.05,70,1,3.3224534858016304,0.4361384208005898
0.05,80,1,3.9956586137139074,0.5045104556819745
0.05,90,1,2.345212032326541,0.5511406753275832
0.05,100,1,3.4424877574625317,0.5537088291470281
0.05,110,1,3.105563391915146,0.4799977053392179
0.05,120,1,2.1616238225752573,0.5559422838970374
0.05,130,1,2.1763490165240964,0.4958821655631125
0.05,140,1,2.062919767647068,0.47355079769278663
0.05,150,1,4.066465441903544,0.5404494173544518
0.05,160,1,4.131176604646322,0.5529681061864836
0.05,170,1,3.504447489760674,0.5393779442393154
0.05,180,1,2.1565809721406906,0.5433439970084251
0.05,190,1,4.184303102940748,0.5385074130834249
0.05,200,1,3.463894201748659,0.5103588190543693
0.07,10,1,3.9242166332057637,0.4272977532576859
0.07,20,1,2.9122573907240756,0.4942159000558943
0.07,30,1,3.9081604722687646,0.4856205741839922
0.07,40,1,3.8560529546283657,0.39472883080685167
0.07,50,1,3.6446138564518145,0.4314799843167786
0.07,60,1,2.268420798989103,0.4280330276893025
0.07,70,1,3.2608941316819915,0.53143686796107
0.07,80,1,3.2374339127384064,0.5036885587205485
0.07,90,1,2.552125967377374,0.4317137648270199
0.07,100,1,2.238875380219986,0.5198083120921675
0.07,110,1,3.367285087948156,0.4533334859856296
0.07,120,1,3.5493834706290364,0.4047262000808096
0.07,130,1,2.730130372251258,0.4441933113498736
0.07,140,1,3.2502761758861416,0.536223859249365
0.07,150,1,2.3983393274442184,0.5122428445663828
0.07,160,1,3.115564848579681,0.4711870534011825
0.07,170,1,3.2276375873526644,0.39469261287462265
0.07,180,1,3.0693332603491026,0.4345805755408633
0.07,190,1,2.2033993127137737,0.4886021653211182
0.07,200,1,2.113745093136236,0.49153145297990225
0.09,10,1,3.913668077135725,0.4424550399433203
0.09,20,1,3.010753986481038,0.3964437585873119
0.09,30,1,2.7684460623071807,0.24422434212821292
0.09,40,1,3.0534266129538605,0.44338678605452747
0.09,50,1,2.7595260484584614,0.42705543099038634
0.09,60,1,2.5621943634435453,0.4151448219069831
0.09,70,1,3.8444885017807735,0.42881438391662474
0.09,80,1,2.706018440412741,0.40042812188347626
0.09,90,1,3.966851232176018,0.43673235246580094
0.09,100,1,2.7403362965097595,0.41791367079870756
0.09,110,1,3.1846703977204194,0.48502939777681925
0.09,120,1,2.3608213199571977,0.5154811195278102
0.09,130,1,3.0756633284930635,0.4214478809609889
0.09,140,1,3.9481604359345446,0.48002730940113947
0.09,150,1,3.610106891493504,0.44763942188314876
0.09,160,1,3.102069950809632,0.5458606101970195
0.09,170,1,3.276767738537363,0.5005494039043741
0.09,180,1,3.191730503546115,0.47478419899246194
0.09,190,1,4.135546857505653,0.3816841868939242
0.09,200,1,2.16890863530403,0.4066013171941518
0.1,10,1,3.314438701222816,0.4304878939281878
0.1,20,1,2.9389648026986444,0.36661789725740285
0.1,30,1,3.7433807220471738,0.3806191407972222
0.1,40,1,2.409988520458518,0.4531434486965876
0.1,50,1,2.776087619247041,0.4167707779894673
0.1,60,1,3.167360827471578,0.4584759626274113
0.1,70,1,2.398897107558937,0.52483712796834
0.1,80,1,2.9416396572662915,0.36421994496025073
0.1,90,1,3.8509565500861718,0.32319170789689816
0.1,100,1,3.9024405184259288,0.4333924794175405
0.1,110,1,3.9670961365019743,0.4913899881867675
0.1,120,1,2.4950479850615306,0.4691511964693564
0.1,130,1,3.1400549119120296,0.47592197237698375
0.1,140,1,2.3592980309140947,0.4129722457953266
0.1,150,1,4.17252635856165,0.4287661650438622
0.1,160,1,2.431008287589872,0.4180834383410405
0.1,170,1,3.2796862810279044,0.5211880717467446
0.1,180,1,3.417052376097106,0.45087916454718263
0.1,190,1,2.3561508767445063,0.5493190108510307
0.1,200,1,3.12497776735509,0.5444924729808438
