sigma^2,N,Avg_Unaligned_Error,Avg_Aligned_Error
0.07,40,3.847588787610046,0.5118521089455029
0.07,50,3.7188225945911353,0.41946572793044334
0.07,60,3.0754267349199225,0.4976279031968924
0.07,70,3.2355042307003754,0.4844332643489661
0.07,80,3.7598774212253536,0.34926584950609124
0.07,90,2.917558434252782,0.44311965814452714
0.07,100,3.1520364755552968,0.48941439229062617
0.07,110,4.019709156941237,0.4504608849677025
0.07,120,3.2219032303818684,0.41925736059577584
0.07,130,2.1668841814108433,0.4948488872821747
0.07,140,2.7506807208750477,0.4029490577403956
0.07,150,3.1055520576807614,0.4048044869957929
0.07,160,3.119590602421881,0.4346475946466495
0.07,170,2.6014651311188626,0.553336533548522
0.07,180,2.9790703344086795,0.5388146752868769
0.07,190,3.403848610672514,0.42040771168946806
0.07,200,3.941279706024354,0.549645022104616
0.09,10,2.8941350590732915,0.4004918647279474
0.09,20,3.073100315922416,0.3298731580886071
0.09,30,3.183033032488004,0.5081681299908326
0.09,40,3.4649205253622326,0.42165632752551674
0.09,50,3.866364607478804,0.3450220114111967
0.09,60,2.355602371937728,0.45401968301125123
0.09,70,3.8162262680314325,0.415272822056256
0.09,80,4.113390725788492,0.5227792615684816
0.09,90,3.5859733096964854,0.40372066794295874
0.09,100,3.1543317480869733,0.46914370037720926
0.09,110,3.6504785275960008,0.3699274180604876
0.09,120,2.4795894445208093,0.5014204209813423
0.09,130,2.9256830408987584,0.44268412038434646
0.09,140,2.3012024721703086,0.38687081941790247
0.09,150,2.5689015792343173,0.4100372890279194
0.09,160,3.0998514357039677,0.46726895182958694
0.09,170,2.4668495112826654,0.4682082179407694
0.09,180,3.097750298689412,0.5123368113358999
0.09,190,4.0614310834324785,0.440311131256523
0.09,200,2.699864714830188,0.41850010990501885
0.1,10,2.7464751491398243,0.4160106824767192
0.1,20,3.502717545059544,0.25214024521300327
0.1,30,3.1407463472966923,0.3804480259461872
0.1,40,3.6113167308688126,0.36776012018097615
0.1,50,3.3582030216693064,0.3767793404856257
0.1,60,2.894362304713057,0.39591696577071983
0.1,70,3.990005152306636,0.5197199527426714
0.1,80,3.2085057803722594,0.471762966667995
0.1,90,3.8303247938001914,0.46096994462951907
0.1,100,2.6825772789142053,0.4338813088147371
0.1,110,3.922056846704478,0.3978613121073222
0.1,120,3.1654363483405605,0.4266479421228901
0.1,130,2.6706494536093053,0.4071855613007353
0.1,140,2.898405849596564,0.49722654694751744
0.1,150,3.705587712127475,0.38832699379573044
0.1,160,2.7491607172695773,0.5368522043118407
0.1,170,2.3121309386798417,0.45778764777854225
0.1,180,3.079077542277483,0.5442572594429115
0.1,190,3.158722861966196,0.4998293339464888
0.1,200,3.4809239387951285,0.39015761538858845
